축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명,외국인방문수,사진
궁거랑 벚꽃 한마당 개최,무거생태하원 일원,2025-03-28,2025-03-29,축하공연+구립교향악단+청소년공연+예술단공연+포토존+벚꽃조명+벚꽃터널+먹거리장터+푸드트럭,울산제일일보,울산제일일보,울산광역시 남구청,,,,"울산광역시 남구 삼호로23번길 12-1 13, 무거생태하천 일원","울산광역시 남구 무거동 1431-2, 무거생태하천 일원",35.55078474,129.2668778,2025-08-26,3700000,울산광역시 남구,443,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동래읍성역사축제,동래문화회관+읍성광장+온천장 일원,2025-10-24,2025-10-26,동래부사행차길놀이+동래성저전투재현 뮤지컬+동래세가닥줄다리기+동래장터 체험 등,동래문화원+동래읍성역사축제추진위원회,부산광역시 동래구청,부산광역시청+한국관광공사+부산관광공사 등,051-550-4092,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.21195069,129.090546,2025-08-26,3300000,부산광역시 동래구,995,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
군위 삼장군단오축제,효령면 고지바위권역다목적센터 일원,2025-05-31,2025-05-31,삼장군 단오축제,군위문화원,군위문화원,대구광역시청+대구광역시 군위군청,054-380-6866,,,대구광역시 군위군 효령면 장군당 1길 24-6,대구광역시 군위군 효령면 장군리 116-3,36.12359056,128.5747208,2025-08-26,5141000,대구광역시 군위군,786,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
운정호수공원 불꽃축제,운정호수공원 일원,2025-11-01,2025-11-01,공연+체험프로그램+불꽃축제,(재)파주문화재단,경기도 파주시청,,,,,경기도 파주시 시민회관길 33,경기도 파주시 금촌동 927,37.7592016315,126.7807224813,2025-09-16,4060000,경기도 파주시,175,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 화순 봄꽃 축제,남산공원 및 꽃강길 일원,2025-04-18,2025-04-27,공연+전시+체험+먹거리부스 운영 등,전라남도 화순군,전라남도 화순군,,061-379-3575,https://www.hwasun.go.kr/festival/,,전라남도 화순군 화순읍 동헌길 23,전라남도 화순군 화순읍 훈리 35,35.06454,126.9861688,2025-09-15,4900000,전라남도 화순군,113,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
영월동강뗏목축제,동강둔치 일원,2025-08-01,2025-08-03,전통뗏목시연+워터파크+카누체험+물놀이시설,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,,강원특별자치도 영월군 영월읍 하송리 61-11,37.17968547,128.4698463,2025-06-25,4271000,강원특별자치도 영월군,112,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동강국제사진제,동강사진박물관,2025-07-11,2025-09-28,국제주제전+국제공모전+동강사진상수상자전+거리설치전,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 영월읍 영월로 1909-10,강원특별자치도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511,2025-06-25,4271000,강원특별자치도 영월군,191,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
단종문화제,장릉 및 영월읍 일원,2025-04-25,2025-04-27,단종제향+단종국장재현+칡줄다리기+정순왕후선발대회,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 영월읍 단종로 24,강원특별자치도 영월군 영월읍 영흥리 961-2,37.18609549,128.4681825,2025-06-25,4271000,강원특별자치도 영월군,134,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
김삿갓문화제,김삿갓유적지 일원,2024-10-11,2024-10-13,김삿갓제향+김삿갓문학상+김삿갓 해학의 길 걷기+조선시대 과거대전,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 김삿갓면 김삿갓로 216-22,강원특별자치도 영월군 김삿갓면 와석리 913-1,37.07949201,128.6017366,2025-06-25,4271000,강원특별자치도 영월군,191,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
영월동강뗏목축제,동강둔치 일원,2024-08-02,2024-08-04,전통뗏목시연+워터파크+카누체험+물놀이시설,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,,강원특별자치도 영월군 영월읍 하송리 61-11,37.17968547,128.4698463,2025-06-25,4271000,강원특별자치도 영월군,-1,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동강국제사진제,동강사진박물관,2024-07-12,2024-09-29,국제주제전+국제공모전+동강사진상수상자전+거리설치전,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 영월읍 영월로 1909-10,강원특별자치도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511,2025-06-25,4271000,강원특별자치도 영월군,38,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
단종문화제,장릉 및 영월읍 일원,2024-04-26,2024-04-28,단종제향+단종국장재현+칡줄다리기+정순왕후선발대회,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 영월읍 단종로 24,강원특별자치도 영월군 영월읍 영흥리 961-2,37.18609549,128.4681825,2025-06-25,4271000,강원특별자치도 영월군,109,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
김삿갓문화제,김삿갓유적지 일원,2023-09-22,2023-09-24,조선시대영월과거대전+백일장+김삿갓해학의길걷기,영월문화관광재단,강원특별자치도 영월군,강원특별자치도+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 김삿갓면 김삿갓로 216-22,강원특별자치도 영월군 김삿갓면 와석리 913-1,37.07949201,128.6017366,2025-06-25,4271000,강원특별자치도 영월군,192,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
문경찻사발축제,문경새재도립공원 일원,2025-05-03,2025-05-11,개-폐막식 축하공연+국제작가교류전+도자기명품전+찻사발공모대전+찻사발빚기+다례체험+전통놀이+방탈출미션+요장투어+사기장의 하루+전통발물례경진대회+전통다례 시연+어린이날 특별행사,문경관광공사,경상북도 문경시,문화체육관광부+경상북도청+문경도자기협동조합+한국관광공사,054-571-7677,http://www.sabal21.com,,경상북도 문경시 문경읍 새재로 932,경상북도 문경시 문경읍 상초리 288-1,36.76160074,128.0769883,2025-08-25,B551011,한국관광공사,54,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
밀양아리랑대축제,영남루 및 밀양강변 일원+남천강변로 일원,2025-05-22,2025-05-25,대표프로그램 2개+주제형프로개름 9개+지역 문화관광자원 연계프로그램 4개+부대프로그램 2개+밀양문화재(동시행사)등,재단법인 밀양문화관광재단,경상남도+경상남도 밀양시,,055-359-4500,http://www.arirang.or.kr/,,,경상남도 밀양시 삼문동 1-1,35.4898558,128.756844,2025-08-25,B551011,한국관광공사,126,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
보령머드축제,보령머드엑스포광장,2025-07-25,2025-08-10,머드 체험프로그램+머드 공연+머드챌린지+전시판매 프로그램 등,재단법인 보령축제관광재단,충청남도 보령시,문화체육관광부+한국관광공사+충청남도청,041-930-0891,https://mudfestival.or.kr/festival/view,,,충청남도 보령시 신흑동 2282,36.31449394,126.5151849,2025-08-25,B551011,한국관광공사,168,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
보성다향대축제,한국차문화공원 및 보성차밭 일원,2025-05-02,2025-05-06,메인프로그램 5개+부대프로그램 4개+소비자체험 프로그램 3개,보성다향대축제추진위원회,보성차생산자조합,,061-850-5211,https://xn--2j1b3b273b9lecnkfqi0uo.com/,한국차소리문화공원,전라남도 보성군 보성읍 녹차로 775,,34.7198777,127.0817127,2025-08-25,B551011,한국관광공사,180,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부산국제록페스티벌,삼락생태공원,2025-09-26,2025-09-28,부산국제록페스티벌+Rookies on the BU-ROCK+Road to BU-ROCK+푸드코트 라운지+캠핑존 등,부산문화관광축제조직위원회,부산광역시,대선주조+부산은행+칭따오+에어부산+더벤티+JAMESON IRISH WHISKEY+몬스터에너지+카카오T+다방+멜론+eyesmag+자연드림,051-713-5000,https://busanrockfestival.com/,,,부산광역시 사상구 삼락동 29-50,35.16878583,128.9741047,2025-08-25,B551011,한국관광공사,108,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부천국제만화축제,한국만화박물관 일원,2025-09-26,2025-09-28,부천만화대상 수상작 특별전시+만화창작음악제+경기국제코스프레페스티벌+작가와의 대담 등,(재)한국만화영상진흥원,(재)한국만화영상진흥원,,032-310-3071,https://www.bicof.com,,경기도 부천시 원미구 길주로 1 (상동),경기도 부천시 원미구 상동 529-2,37.51206151,126.7465525,2025-08-25,B551011,한국관광공사,101,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
부평풍물대축제,부평대로 + 부평일원,2025-09-26,2025-09-28,개폐막공연+부평대동퍼레이드&부평만만세+대한민국창작풍물대전+부평생활문화축제+풍물페스타 등,부평구축제위원회+부평구문화재단+부평문화원,인천광역시 부평구,문화체육관광부+인천광역시청+인천광역시교육청+인천광역시의회+부평구의회,032-509-7516,https://portal.icbp.go.kr/bpf/,,인천광역시 부평구 시장로 10 (부평동),인천광역시 부평구 부평동 126-10,37.4956392,126.7226526,2025-08-25,B551011,한국관광공사,1067,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
산청한방약초축제,동의보감촌,2025-10-02,2025-10-12,산청혜민서+내몸의 보약체험+항노화뷰티관+약초판매장터+가족힐링존+소원지체험존 등,(재)산청축제관광재단,(재)산청축제관광재단,경상남도 산청구청+경상남도청+문화체육관광부+한국관광공사,055-970-6670,http://scherb.or.kr/,,경상남도 산청군 금서면 동의보감로555번길 61,경상남도 산청군 금서면 특리 1300-25,35.44111103,127.8278349,2025-08-25,B551011,한국관광공사,114,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
서산해미읍성축제,해미읍성,2025-09-26,2025-09-28,고성방가EDM파티+서산 헤리티지+청허정 힐링 프로그램+해미 더 클래식+뮤지컬 갈라쇼+블랙이글스 에어쇼 등,(재)서산문화재단,충청남도 서산시,,041-660-2696,http://www.haemifest.com/,,충청남도 서산시 해미면 남문2로 143,충청남도 서산시 해미면 읍내리 491,36.71355404,126.5503811,2025-08-25,B551011,한국관광공사,71,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
세종축제,세종호수공원 일원,2025-10-09,2025-10-11,한글놀이터+과학놀이터+시민참여 프로그램 공모,(재)세종시문화관광재단,세종특별자치시,,044-850-0592,http://sjfestival.kr/,,세종특별자치시 호수공원길 155,세종특별자치시 세종동 1201,36.49717958,127.2734851,2025-08-25,B551011,한국관광공사,-5,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
소래포구 축제,해오름광장,2025-09-26,2025-09-28,어등 만들기+대하 잡기+생태 체험 부스+예술 체험 부스+해양 어등 터널+소래포구 영상제+아트 플리마켓 등,남동문화재단,인천광역시 남동구,,032-453-2142,www.namdong.go.kr/soraefestival,,인천광역시 남동구 아암대로 1454 (논현동),,37.3872524,126.7269797,2025-08-25,B551011,한국관광공사,1207,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
수원화성문화제,수원화성 일원,2025-09-27,2025-10-04,주제공연 수원판타지 야조 +공연프로그램 2개+체험/참여프로그램 6개+정조대왕 능행차 등,경기도 수원시+수원화성문화제 추진위원회+수원문화재단,경기도 수원시,,031-228-3920,https://shfestival.com/index,,,경기도 수원시 팔달구 신풍동 363-31,37.2821138,127.0154124,2025-08-25,B551011,한국관광공사,108,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
묵호 도째비페스타,묵호항 여객선터미널 일대,2025-07-18,2025-07-20,개막식+공연행사+먹거리+체험거리부스운영,동해문화관광재단,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2412,dhfesta.or.kr/dmdf/,,강원특별자치도 동해시 일출로22,강원특별자치도 동해시 묵호진동 13-48,37.55031291,129.1125007,2025-07-28,4211000,강원특별자치도 동해시,42,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
해변 뮤직 페스티벌,"추암, 망상해변",2025-07-30,2025-08-04,공연,동해문화관광재단,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2412,dh.go.kr,,강원특별자치도 동해시 동해대로 6270-10,강원특별자치도 동해시 망상동 393-100,37.59225691,129.0896901,2025-07-28,4211000,강원특별자치도 동해시,78,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동해무릉제,동해웰빙레포츠타운,2025-09-18,2025-09-21,개막식+공연행사+먹거리+체험거리부스운영,동해문화관광재단,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2412,dhfesta.or.kr/dmrf/,,강원특별자치도 동해시 덕골길 10,강원특별자치도 동해시 천곡동 363-1,37.51605831,129.1021986,2025-07-28,4211000,강원특별자치도 동해시,173,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
삼화사국행수륙대재,삼화사,2025-10-17,2025-10-19,불교의례+의식진행,대한불교 조계종 삼화사,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2461,samhwasa.or.kr,,강원특별자치도 동해시 삼화로 584,강원특별자치도 동해시 삼화동 860-1,37.46357478,129.0146909,2025-07-28,4211000,강원특별자치도 동해시,15,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제21회 진안고원 운장산 고로쇠축제,주천면 운일암반일암 삼거광장 일원,2025-03-08,2025-03-09,고로쇠 관련 체험+고로쇠 판매 등,진안고원운장산고로쇠축제위원회,전북특별자치도 진안군,,063-430-2393,https://www.jinango.kr/,,,전북특별자치도 진안군 주천면 대불리 75-1,35.98388102,127.3882948,2025-07-28,4731000,전북특별자치도 진안군,84,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제15회 진안고원 수박축제,동향면 체련공원 일원,2025-08-02,2025-08-03,수박왕 선발대회+수박판매 등,진안고원수박축제추진위원회,전북특별자치도 진안군,,063-430-2393,https://www.jinansubak.kr/,,전북특별자치도 진안군 동향면 진성로 1687,전북특별자치도 진안군 동향면 능금리 2198-2,35.84147374,127.5747111,2025-07-28,4731000,전북특별자치도 진안군,107,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 진안홍삼축제,마이산 북부 일원,2025-09-26,2025-09-28,홍삼 수삼판매+홍삼관련체험+문화공연 등,진안홍삼축제추진위원회,전북특별자치도 진안군,,063-430-2392,https://www.jinan.go.kr/festival/,,전북특별자치도 진안군 진안읍 마이산로 160,전북특별자치도 진안군 진안읍 단양리 778,35.773251,127.4162559,2025-07-28,4731000,전북특별자치도 진안군,131,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제7회 진안고원 김치보쌈축제,진안홍삼한방센터 일원,2025-11-15,2025-11-16,우리집 김치담그기+사랑의 김장나눔 등,진안YMCA,전북특별자치도 진안군,,063-430-2393,https://jinankimchi.kr/,,전북특별자치도 진안군 진안읍 진무로 1166,전북특별자치도 진안군 진안읍 군상리 234,35.7949205,127.434257,2025-07-28,4731000,전북특별자치도 진안군,148,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제23회광안리어방축제,광안리해변 및 수영사적공원 일원,2025-05-09,2025-05-11,"뮤지컬어방, 경상좌수사행렬퍼레이드 등 45개 프로그램",수영구 축제위원회,부산광역시 수영구청,문화체육관광부+부산광역시,051-610-4212,suyeong.go.kr/festival,,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694,2025-07-16,3380000,부산광역시 수영구,961,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제맹종대나무축제,거제맹종죽테마파크 일원,2025-04-25,2025-04-27,죽순 껍질벗기기 체험+죽순 수확 체험+죽순요리 시식+대나무통 소원쓰기 행사 등,거제맹종죽영농조합법인,거제시농업기술센터 농산물유통과,,055-639-6354,,,경상남도 거제시 하청면 거제북로 700,경상남도 거제시 하청면 실전리 산 84-6,34.967728,128.6505119,2025-07-28,5370000,경상남도 거제시,58,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제 옥포대첩 축제,옥포대첩기념공원+옥포수변공원 일원,2025-06-13,2025-06-15,제례봉행+승전행차+가장행렬+옥포해전 재현 등,거제시문화예술재단,거제시문화예술재단,,055-639-3393,,,경상남도 거제시 팔랑포2길 87+경상남도 거제시 옥포로2길 14,경상남도 거제시 옥포동 산 1-1,34.902198,128.7140589,2025-07-28,5370000,경상남도 거제시,101,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
남부면 수국축제,매물도 여객선터미널+남부면 저구항 일원,2025-06-01,2025-06-30,식전행사+화합행사+수국포토존+목재만들기 체험 등,남부면발전협의회,남부면발전협의회,,055-639-6532,,,경상남도 거제시 남부면 남부해안로 30,경상남도 거제시 남부면 저구리 70,34.732249,128.6101227,2025-07-28,5370000,경상남도 거제시,129,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제여름해양축제,지세포항수변공원 일원,2025-07-25,2025-07-27,해양스포츠대회+체험프로그램+블루썸머콘서트 등,㈜엠비씨경남,거제시해양관광개발공사,,055-639-4064,,,경상남도 거제시 일운면 거제대로 2056,경상남도 거제시 일운면 구조라리 502,34.80794905,128.6922053,2025-07-28,5370000,경상남도 거제시,52,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제맥주축제,장승포 수변공원 일원,2025-08-01,2025-08-31,맥주 무제한 제공+무대공연+먹거리 체험 부스 등,거제해양관광개발공사,거제해양관광개발공사,경상남도 거제시+KNN,055-639-8192,,,경상남도 거제시 장승로 146-12,경상남도 거제시 장승포동 685-3,34.866879,128.726047,2025-07-28,5370000,경상남도 거제시,97,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제둔덕포도축제,둔덕가족생활체육공원 일원,2025-09-06,2025-09-07,"포도판매+포도 경매, 체험+공연 등",거제둔덕포도축제추진위원회,둔덕면사무소,,055-639-6611,,,,경상남도 거제시 둔덕면 하둔리 645,34.83386587,128.5038784,2025-07-28,5370000,경상남도 거제시,111,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제 섬꽃축제,거제시 농업기술센터 일원,2025-10-25,2025-11-09,가을꽃 전시+농업기술 홍보+문화예술 전시 등,거제시농업기술센터 농업지원과,거제시농업기술센터 농업지원과,,055-639-6443,http://www.geoje.go.kr/flower/index.geoje,,경상남도 거제시 거제면 거제남서로 3577,경상남도 거제시 거제면 서정리 978-14,34.856464,128.579127,2025-07-28,5370000,경상남도 거제시,79,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제도국제펭귄수영축제,덕포해수욕장 일원,2025-01-11,2025-01-11,펭귄수영+맨손 광어잡이 등,옥포2동주민자치회,거제도 국제펭귄수영축제 추진위원회,,055-639-6864,,,,경상남도 거제시 덕포동 364-4,34.911736,128.710848,2025-07-28,5370000,경상남도 거제시,72,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
장승포항송년불꽃축제,장승포항 수변공원 일원,2025-12-31,2025-12-31,식전공연+개회식+불꽃연출+식후공연+부대행사 등,거제시해양관광개발공사,거제시해양관광개발공사,,055-639-3534,,,경상남도 거제시 장승로 146-12,경상남도 거제시 장승포동 685-3,34.866879,128.726047,2025-07-28,5370000,경상남도 거제시,147,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
거제몽돌해변불꽃축제,학동흑진주몽돌해변 일원,2025-10-25,2025-10-25,체험행사+공연+불꽃 퍼레이드 등,학동마을회,동부면사무소,,055-639-6492,,,,경상남도 거제시 동부면 학동리 295-1,34.77330415,128.6402426,2025-07-28,5370000,경상남도 거제시,33,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
숭어축제,학동해수욕장 일원,2025-04-05,2025-04-06,맨손 숭어잡기+문화공연+숭어 홍보 이벤트 등,육수장망협의회,경상남도 거제시 수산과,,055-639-4273,,,경상남도 거제시 동부면 학동6길 18-1,경상남도 거제시 동부면 학동리 295-1,34.77330415,128.6402426,2025-07-28,5370000,경상남도 거제시,153,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
국가유산 야행,죽서루 일원+대학로 일원,2025-09-26,2025-09-28,역사문화자원 활용 체험+공연+전시+야간 특화 문화유산 향유 프로그램 등,삼척관광문화재단,강원특별자치도 삼척시,,033-570-3575,,죽서루 일원+대학로 일원,강원특별자치도 삼척시 죽서루길 37,강원특별자치도 삼척시 성내동 9-3,37.44052666,129.1609926,2025-07-28,4241000,강원특별자치도 삼척시,40,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
남산공원 꽃무릇 축제,남산공원,2025-09-10,2025-09-21,전시,남사모,남사모,,,,,,경상남도 고성군 고성읍 신월리 820,,,2025-07-16,5420000,경상남도 고성군,111,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
구례산수유꽃축제,산동면,2024-03-09,2024-03-17,산수유꽃 프로그램,구례산수유꽃축제추진위원회,구례산수유꽃축제추진위원회,전라남도 구례군청,061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,,전라남도 구례군 산동면 좌사리 831,35.318767,127.4705342214,2024-08-12,4870000,전라남도 구례군,143,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
구례300리벚꽃축제,구례읍+문척면,2024-03-22,2024-03-24,축하공연+체험프로그램+야관경관조명+버스킹,구례300리벚꽃축제추진위원회,구례300리벚꽃축제추진위원회,전라남도 구례군청,061-780-2255,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000039&menuNo=104001003000,,전라남도 구례군 구례읍 서시천로 106,전라남도 구례군 구례읍 봉북리 1423-1,35.2166161023,127.4668741224,2024-08-12,4870000,전라남도 구례군,96,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
지리산남악제 및 군민의 날 행사,구례읍+마산면,2024-04-18,2024-04-20,군민한마당+제례+공연+전시체험,지리산남악제및군민의날행사추진위원회,지리산남악제및군민의날행사추진위원회,전라남도 구례군청,061-780-2431,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000101&menuNo=104001004000,,전라남도 구례군 구례읍 서시천로 106,전라남도 구례군 구례읍 봉북리 1423-1,35.2166161023,127.4668741224,2024-08-12,4870000,전라남도 구례군,116,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동편소리축제,구례읍,2024-09-06,2024-09-07,개막제+명인명창전&젊은국악인,구례동편소리축제추진위원회,구례동편소리축제추진위원회,전라남도 구례군청,061-780-2431,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000102&menuNo=104001005000,,전라남도 구례군 구례읍 서시천로 76-11,전라남도 구례군 구례읍 봉북리 25,35.2157240485,127.4680870405,2024-08-12,4870000,전라남도 구례군,146,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고창모양성제,모양성 일원,2024-10-09,2024-10-13,거리퍼레이드+답성놀이+강강술래 등,전북특별자치도 고창군청,전북특별자치도 고창군청,전북특별자치도+전북특별자치도 고창군,063-560-2949,http://www.gochang.go.kr/tour/,주야간 답성놀이+강강술래+공성전+전통무예시연+원님행차+축하공연 등,전북특별자치도 고창군 고창읍 중앙로 292,전북특별자치도 고창군 고창읍 교촌리 55-2,35.43534518,126.7066502,2024-06-02,4781000,전북특별자치도 고창군,135,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고창벚꽃축제,석정 일원,2024-03-29,2024-03-31,어린이콘서트+전야제+개막공연+이색복장벚꽃길걷기+읍면줄다리기,전북특별자치도 고창군청,전북특별자치도 고창군청,,063-560-2950,http://www.gochang.go.kr/tour/,어린이콘서트+전야제+개막공연+이색복장벚꽃길걷기+읍면줄다리기,전북특별자치도 고창군 고창읍 석정2로 171,전북특별자치도 고창군 고창읍 석정리 727,,,2024-06-02,4781000,전북특별자치도 고창군,44,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
바지락 오감체험 페스티발,하전갯벌체험장,2024-05-10,2024-05-12,조개캐기갯벌체험+어린이체험부스+바지락시식행사+공연행사,하전어촌계(축제운영위원회),하전어촌계(축제운영위원회),,063-560-2733,http://www.gochang.go.kr/tour/,조개캐기갯벌체험+어린이체험부스+바지락시식행사+공연행사,전북특별자치도 심원면 서전길 55-21,전북특별자치도 고창군 심원면 하전리 979,,,2024-06-02,4781000,전북특별자치도 고창군,113,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고창청보리밭축제,고창군 공음면 학원농장 일원,2024-04-20,2024-05-12,여는마당+체험마당+보리밭체험길걷기+상설전시 및 연계행사 등,고창청보리밭축제위윈회,고창청보리밭축제위윈회,전북특별자치도 고창군+한수원(주)한빛원자력본부+농협 고창군지부,063-560-2523,http://www.gochang.go.kr/tour/,여는마당+체험마당+보리밭체험길걷기+상설전시 및 연계행사 등,전북특별자치도 고창군 공음면 학원농장길 158-6,,35.37610584,126.543619,2024-06-02,4781000,전북특별자치도 고창군,103,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
동학농민혁명 무장기포기념제,동학농민혁명 무장기포지,2024-04-25,2024-04-25,식전공연+녹두대상시상+무장포고문낭독+진격로걷기+입성재연 등,동학농민혁명무장기포기념제,동학농민혁명무장기포기념제,전북특별자치도 고창군+한수원(주)한빛원자력본부,063-560-2461,http://www.gochang.go.kr/tour/,식전공연+녹두대상시상+무장포고문낭독+진격로걷기+입성재연 등,전북특별자치도 고창군 공음면 선운대로 308,전북특별자치도 고창군 공음면 구암리 589-2,35.4037328,126.4955322,2024-06-02,4781000,전북특별자치도 고창군,78,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고창복분자와수박축제,선운산도립공원,2024-06-14,2024-06-16,개막행사+농특산물판매+체험행사+복분자수박시식행사 등,고창복분자와수박축제위원회,고창복분자와수박축제위원회,전북특별자치도 고창군+한수원(주)한빛원자력본부+농협 고창군지부,063-560-2531,http://www.gochang.go.kr/tour/,기념식+복분자 수박관련 체험+농특산품판매 등,전북특별자치도 고창군 아산면 선운사로 250,전북특별자치도 고창군 아산면 삼인리 500,35.49769748,126.5795174,2024-06-02,4781000,전북특별자치도 고창군,115,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
